transaction_id,account_id,transaction_date,amount,transaction_type,merchant,location,is_fraud,high_amount_flag,time_diff,rapid_txn_flag,prev_location,location_change_flag,fraud_flag,customer_id,balance,account_status,name,age,city,account_type,join_date
T0873,A004,2026-03-20 11:46:52,74947,Credit,Thomas-Maxwell,Lake Debbiestad,0,True,2875756.0,False,South Jamesmouth,False,True,C004,12333,Active,Joshua Larsen,51,Port Joel,Current,2021-10-08
T0329,A005,2026-01-12 05:32:37,74316,Credit,"Bullock, Diaz and Fuller",Seanmouth,0,True,,False,,False,True,C005,83386,Blocked,Christopher Cooper,53,Barkerton,Current,2023-05-10
T0542,A005,2026-02-27 02:03:53,46363,Credit,Frederick PLC,East Cory,0,False,3961876.0,False,Seanmouth,False,False,C005,83386,Blocked,Christopher Cooper,53,Barkerton,Current,2023-05-10
T0968,A005,2026-03-05 03:35:26,14917,Debit,Rodgers and Sons,South Donald,0,False,523893.0,False,East Cory,False,False,C005,83386,Blocked,Christopher Cooper,53,Barkerton,Current,2023-05-10
T0995,A005,2026-03-08 13:56:53,73892,Debit,Wade Ltd,Port Robertshire,0,True,296487.0,False,South Donald,False,True,C005,83386,Blocked,Christopher Cooper,53,Barkerton,Current,2023-05-10
T0527,A005,2026-04-09 00:17:00,56359,Credit,"Wilson, Lynch and Brown",Jasminefurt,0,True,2715607.0,False,Port Robertshire,False,True,C005,83386,Blocked,Christopher Cooper,53,Barkerton,Current,2023-05-10
T0690,A006,2026-01-13 10:17:21,56426,Debit,Ross PLC,North Micheal,0,True,,False,,False,True,C006,56707,Blocked,Ashley Joseph,40,East Catherineton,Current,2023-09-10
T0286,A006,2026-02-20 09:47:12,6945,Debit,Shelton-Fuller,Port Blakefort,0,False,3281391.0,False,North Micheal,False,False,C006,56707,Blocked,Ashley Joseph,40,East Catherineton,Current,2023-09-10
T0291,A006,2026-04-11 00:45:51,96249,Credit,Humphrey and Sons,Melissachester,0,True,4287519.0,False,Port Blakefort,False,True,C006,56707,Blocked,Ashley Joseph,40,East Catherineton,Current,2023-09-10
T0284,A007,2026-01-16 22:07:19,78876,Credit,Schwartz-Kelley,New Shelia,0,True,,False,,False,True,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0940,A007,2026-02-15 06:59:45,9772,Credit,Mitchell-Rich,North Stephenburgh,0,False,2537546.0,False,New Shelia,False,False,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0056,A007,2026-02-21 21:57:10,7935,Credit,"Bishop, Rush and Ross",Pattersonstad,0,False,572245.0,False,North Stephenburgh,False,False,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0290,A007,2026-02-22 13:09:19,41106,Debit,Evans-Lane,North Susanport,0,False,54729.0,False,Pattersonstad,False,False,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0076,A007,2026-03-03 09:34:55,18619,Credit,Lawrence Inc,North Luke,0,False,764736.0,False,North Susanport,False,False,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0684,A007,2026-03-09 09:21:14,31021,Credit,"Farmer, White and Mason",Adamburgh,0,False,517579.0,False,North Luke,False,False,C007,93429,Dormant,Sarah Hall,55,North Patricia,Savings,2026-04-11
T0436,A008,2026-01-21 12:26:46,6002,Credit,"Jacobs, Byrd and Meadows",Benjaminmouth,0,False,,False,,False,False,C008,38711,Active,Yolanda Jones,22,North David,Current,2024-03-20
T0816,A008,2026-04-06 03:40:30,43155,Credit,"Rios, Hill and Hopkins",Davidfurt,0,False,6448424.0,False,Benjaminmouth,False,False,C008,38711,Active,Yolanda Jones,22,North David,Current,2024-03-20
T0366,A008,2026-04-07 22:34:40,71579,Credit,Jackson-Brown,West Lisaton,0,True,154450.0,False,Davidfurt,False,True,C008,38711,Active,Yolanda Jones,22,North David,Current,2024-03-20
T0212,A009,2026-02-07 09:18:05,69201,Debit,"Hernandez, Potts and Williams",Greenhaven,1,True,,False,,False,True,C009,113735,Blocked,Matthew Mora,55,South Amandafurt,Savings,2026-03-02
T0398,A009,2026-02-08 20:49:37,6374,Credit,"Smith, Carter and Chapman",Jacobburgh,0,False,127892.0,False,Greenhaven,False,False,C009,113735,Blocked,Matthew Mora,55,South Amandafurt,Savings,2026-03-02
T0780,A009,2026-04-02 08:45:41,58069,Debit,Bennett-Baldwin,Mahoneychester,0,True,4535764.0,False,Jacobburgh,False,True,C009,113735,Blocked,Matthew Mora,55,South Amandafurt,Savings,2026-03-02
T0806,A009,2026-04-03 07:14:26,51616,Debit,Brown LLC,South Brenda,0,True,80925.0,False,Mahoneychester,False,True,C009,113735,Blocked,Matthew Mora,55,South Amandafurt,Savings,2026-03-02
T0852,A009,2026-04-18 11:45:31,21811,Debit,"Moore, Nielsen and Lewis",Browntown,0,False,1312265.0,False,South Brenda,False,False,C009,113735,Blocked,Matthew Mora,55,South Amandafurt,Savings,2026-03-02
T0986,A010,2026-01-05 07:44:52,73384,Credit,"Ryan, Anderson and Quinn",North Davidburgh,0,True,,False,,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0237,A010,2026-01-05 15:37:34,36767,Credit,Gill-Jones,Alejandraburgh,0,False,28362.0,False,North Davidburgh,False,False,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0079,A010,2026-01-22 07:52:43,75302,Credit,Massey LLC,North Jacobton,0,True,1440909.0,False,Alejandraburgh,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0363,A010,2026-02-20 16:22:12,15007,Debit,Martinez-Davenport,Johnbury,0,False,2536169.0,False,North Jacobton,False,False,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0973,A010,2026-03-02 07:35:56,73559,Debit,"Mcguire, Brown and Foster",Lake Sherry,1,True,832424.0,False,Johnbury,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0765,A010,2026-03-20 00:07:59,54266,Credit,Haynes and Sons,Nelsonton,1,True,1528323.0,False,Lake Sherry,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0299,A010,2026-03-21 14:37:29,68423,Credit,Allen-Wilkins,Lake Peterville,0,True,138570.0,False,Nelsonton,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0303,A010,2026-04-13 21:18:01,58450,Credit,"Cooper, Williamson and Walker",Walkerton,0,True,2011232.0,False,Lake Peterville,False,True,C010,178711,Blocked,Rebecca Rodriguez,34,South David,Current,2025-10-31
T0356,A011,2026-01-30 06:19:48,43580,Credit,Adkins-Boyer,Amandaside,0,False,,False,,False,False,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0619,A011,2026-03-04 09:47:02,99591,Credit,Moore-Strickland,Michaelmouth,0,True,2863634.0,False,Amandaside,False,True,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0267,A011,2026-03-21 10:57:46,81451,Debit,Riggs Ltd,East Nicholaschester,0,True,1473044.0,False,Michaelmouth,False,True,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0268,A011,2026-03-26 14:34:54,48558,Debit,"Scott, Watson and Patterson",Port Williamchester,0,False,445028.0,False,East Nicholaschester,False,False,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0335,A011,2026-04-02 15:48:53,35123,Debit,"Jones, Reynolds and Davis",Port Gregory,0,False,609239.0,False,Port Williamchester,False,False,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0381,A011,2026-04-04 18:03:42,20019,Debit,Collins LLC,Lake Adrian,0,False,180889.0,False,Port Gregory,False,False,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0651,A011,2026-04-12 16:06:54,6109,Debit,Lewis LLC,Lake Sethtown,0,False,684192.0,False,Lake Adrian,False,False,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0762,A011,2026-04-15 14:59:59,57418,Debit,"Myers, Gonzales and Mitchell",North Stephanie,0,True,255185.0,False,Lake Sethtown,False,True,C011,107626,Dormant,Justin Olson,47,Port Ashleytown,Current,2023-05-06
T0558,A012,2026-01-07 23:08:11,72494,Debit,Evans PLC,Patrickburgh,1,True,,False,,False,True,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0927,A012,2026-01-19 18:33:03,9408,Credit,Walter-Mills,North Joshua,0,False,1020292.0,False,Patrickburgh,False,False,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0609,A012,2026-01-21 04:13:19,22951,Credit,Gonzalez-West,Port Benjaminmouth,0,False,121216.0,False,North Joshua,False,False,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0424,A012,2026-02-12 21:20:53,83589,Credit,"Cross, Brown and Gill",Gregfurt,0,True,1962454.0,False,Port Benjaminmouth,False,True,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0784,A012,2026-02-15 16:13:18,73449,Debit,"Wilkerson, Hill and Richard",Farmerville,1,True,240745.0,False,Gregfurt,False,True,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0866,A012,2026-03-13 15:38:28,15585,Debit,Phillips Ltd,Evanside,0,False,2244310.0,False,Farmerville,False,False,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0142,A012,2026-04-05 22:37:13,9473,Debit,Martinez LLC,Shawnborough,0,False,2012325.0,False,Evanside,False,False,C012,135813,Active,Christopher Carter,50,Woodardfurt,Current,2022-06-15
T0447,A013,2026-01-07 03:26:21,99567,Credit,Reed LLC,Pratthaven,0,True,,False,,False,True,C013,1034,Active,Tina Newman,23,Port Cassandraton,Savings,2022-03-11
T0007,A013,2026-02-22 15:15:29,82906,Debit,Mann-Miller,East Alyssa,0,True,4016948.0,False,Pratthaven,False,True,C013,1034,Active,Tina Newman,23,Port Cassandraton,Savings,2022-03-11
T0965,A013,2026-03-19 05:38:51,39028,Credit,Larson LLC,Lake Martha,0,False,2125402.0,False,East Alyssa,False,False,C013,1034,Active,Tina Newman,23,Port Cassandraton,Savings,2022-03-11
T0804,A013,2026-03-23 22:09:38,41432,Debit,Brewer-Cherry,West Michaelberg,0,False,405047.0,False,Lake Martha,False,False,C013,1034,Active,Tina Newman,23,Port Cassandraton,Savings,2022-03-11
T0312,A013,2026-04-12 22:37:42,60617,Credit,Wilson LLC,Gabriellaland,0,True,1729684.0,False,West Michaelberg,False,True,C013,1034,Active,Tina Newman,23,Port Cassandraton,Savings,2022-03-11
T0326,A014,2026-01-11 15:09:25,23992,Credit,"Yates, Willis and Jones",Theresaland,0,False,,False,,False,False,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0062,A014,2026-01-18 16:59:52,97587,Credit,"Burton, Bell and White",New Edwin,0,True,611427.0,False,Theresaland,False,True,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0807,A014,2026-01-28 17:09:58,44338,Credit,Harrison LLC,East Samanthaland,0,False,864606.0,False,New Edwin,False,False,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0987,A014,2026-02-25 13:34:43,86557,Debit,Jones Inc,Smithport,0,True,2406285.0,False,East Samanthaland,False,True,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0570,A014,2026-03-13 17:52:44,74996,Credit,"Clark, Hart and Todd",Port Nicholasberg,0,True,1397881.0,False,Smithport,False,True,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0411,A014,2026-04-10 19:49:10,30770,Debit,Kemp Ltd,Porterton,0,False,2426186.0,False,Port Nicholasberg,False,False,C014,136328,Dormant,Elizabeth Harvey,44,South Kylemouth,Current,2021-07-09
T0956,A015,2026-01-08 21:25:45,30699,Debit,"Carrillo, Ryan and Campbell",North Michellefort,0,False,,False,,False,False,C015,71166,Blocked,Matthew Jackson,26,Lake Joseph,Current,2025-09-04
T0375,A015,2026-02-16 11:51:25,60480,Debit,Harding PLC,New Cynthiaview,0,True,3335140.0,False,North Michellefort,False,True,C015,71166,Blocked,Matthew Jackson,26,Lake Joseph,Current,2025-09-04
T0435,A015,2026-03-01 15:43:11,67553,Credit,"Cross, Hayes and Gonzales",North Robert,0,True,1137106.0,False,New Cynthiaview,False,True,C015,71166,Blocked,Matthew Jackson,26,Lake Joseph,Current,2025-09-04
T0613,A016,2026-01-23 13:54:13,57172,Debit,Wilson Ltd,Torreschester,0,True,,False,,False,True,C016,33835,Blocked,Christine Pacheco,58,East Grace,Savings,2025-10-04
T0841,A016,2026-02-10 15:58:12,36291,Debit,Hill PLC,Johnmouth,0,False,1562639.0,False,Torreschester,False,False,C016,33835,Blocked,Christine Pacheco,58,East Grace,Savings,2025-10-04
T0508,A016,2026-03-12 19:18:01,22325,Debit,Bowers-Barton,West Kathrynhaven,0,False,2603989.0,False,Johnmouth,False,False,C016,33835,Blocked,Christine Pacheco,58,East Grace,Savings,2025-10-04
T0818,A016,2026-04-11 16:34:21,19452,Credit,Carey Inc,Thompsonside,0,False,2582180.0,False,West Kathrynhaven,False,False,C016,33835,Blocked,Christine Pacheco,58,East Grace,Savings,2025-10-04
T0854,A016,2026-04-17 01:01:30,7395,Credit,Fisher-Smith,Chambersstad,0,False,462429.0,False,Thompsonside,False,False,C016,33835,Blocked,Christine Pacheco,58,East Grace,Savings,2025-10-04
T0401,A017,2026-01-29 05:18:17,9212,Debit,Williams Group,New Ernestborough,0,False,,False,,False,False,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0196,A017,2026-02-28 23:49:26,21128,Credit,Scott-Kelly,Fordton,0,False,2658669.0,False,New Ernestborough,False,False,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0020,A017,2026-03-05 08:12:50,52988,Debit,Garza-Mayer,Michaelmouth,1,True,375804.0,False,Fordton,False,True,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0745,A017,2026-03-12 11:00:36,78830,Credit,Morton-Harmon,Lisafort,0,True,614866.0,False,Michaelmouth,False,True,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0731,A017,2026-03-23 05:24:51,69802,Debit,Goodwin PLC,Brennanshire,0,True,930255.0,False,Lisafort,False,True,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0536,A017,2026-03-28 10:09:20,2036,Credit,Hall and Sons,Maryview,0,False,449069.0,False,Brennanshire,False,False,C017,85883,Blocked,William Thomas,52,Williamborough,Current,2022-05-10
T0532,A018,2026-01-06 14:11:33,95133,Credit,Ross-Villarreal,North Mario,0,True,,False,,False,True,C018,60773,Dormant,Sheena Liu,45,East Jasmineton,Savings,2025-07-07
T0472,A018,2026-01-11 16:03:06,8377,Debit,Wilson-Johnson,South Williamton,0,False,438693.0,False,North Mario,False,False,C018,60773,Dormant,Sheena Liu,45,East Jasmineton,Savings,2025-07-07
T0906,A018,2026-01-28 08:00:34,76459,Credit,"Miller, Hoover and Hernandez",Phillipsland,0,True,1439848.0,False,South Williamton,False,True,C018,60773,Dormant,Sheena Liu,45,East Jasmineton,Savings,2025-07-07
T0438,A018,2026-02-19 01:06:03,86647,Debit,"Contreras, Cole and Brooks",North Josephfort,0,True,1875929.0,False,Phillipsland,False,True,C018,60773,Dormant,Sheena Liu,45,East Jasmineton,Savings,2025-07-07
T0571,A019,2026-01-12 15:23:46,78392,Credit,"Ingram, Davis and Blackburn",North Lauren,0,True,,False,,False,True,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0650,A019,2026-02-19 14:52:57,64303,Debit,"Robles, Monroe and Chapman",Josephburgh,0,True,3281351.0,False,North Lauren,False,True,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0246,A019,2026-02-20 08:07:58,71809,Credit,"Nelson, Patterson and Scott",Port Gary,0,True,62101.0,False,Josephburgh,False,True,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0344,A019,2026-03-11 17:54:27,26275,Debit,Morgan-Cruz,Chavezmouth,0,False,1676789.0,False,Port Gary,False,False,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0431,A019,2026-03-27 11:17:01,15112,Credit,Malone-Walker,New Carrieberg,0,False,1358554.0,False,Chavezmouth,False,False,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0809,A019,2026-04-09 02:23:22,40968,Credit,"Mckinney, Burgess and Gonzalez",Jenniferland,0,False,1091181.0,False,New Carrieberg,False,False,C019,199509,Dormant,Jamie Taylor,56,Lorimouth,Current,2022-10-21
T0415,A020,2026-01-02 21:14:03,54465,Credit,Park LLC,Michellechester,1,True,,False,,False,True,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0665,A020,2026-02-10 21:57:26,7608,Credit,Le and Sons,Patriciatown,0,False,3372203.0,False,Michellechester,False,False,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0730,A020,2026-02-17 19:29:25,66619,Credit,Ortiz-Evans,Bridgeston,0,True,595919.0,False,Patriciatown,False,True,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0811,A020,2026-03-14 07:52:23,97525,Credit,Davis Group,Stephenland,0,True,2118178.0,False,Bridgeston,False,True,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0426,A020,2026-03-18 22:45:14,34246,Credit,Williams-Taylor,North Carolyn,0,False,399171.0,False,Stephenland,False,False,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0367,A020,2026-03-25 14:51:29,49976,Debit,Delacruz-Harvey,Port Charleston,0,False,576375.0,False,North Carolyn,False,False,C020,149713,Dormant,Stacy Hardy,25,Nicolemouth,Savings,2022-02-27
T0010,A021,2026-01-07 20:07:57,65725,Credit,Lester PLC,Alexanderbury,0,True,,False,,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0767,A021,2026-01-09 00:44:07,67468,Credit,Robinson PLC,Ivanburgh,1,True,102970.0,False,Alexanderbury,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0823,A021,2026-02-15 02:08:22,74216,Debit,Hayes-Campos,Porterville,0,True,3201855.0,False,Ivanburgh,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0497,A021,2026-03-08 14:41:58,27914,Debit,Garcia Ltd,Rileytown,0,False,1859616.0,False,Porterville,False,False,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0052,A021,2026-03-14 14:48:41,95226,Credit,"Torres, Reyes and Hale",Hooverfurt,1,True,518803.0,False,Rileytown,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0350,A021,2026-03-18 02:11:00,83467,Credit,Bush PLC,Sullivanside,0,True,300139.0,False,Hooverfurt,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0038,A021,2026-03-25 03:58:21,25049,Debit,Patel-Mendez,Estradaberg,0,False,611241.0,False,Sullivanside,False,False,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0499,A021,2026-03-31 20:59:12,69552,Credit,Lewis-Freeman,Harrisstad,0,True,579651.0,False,Estradaberg,False,True,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0840,A021,2026-04-04 23:40:53,5637,Debit,Horn-Kelly,Port Markshire,0,False,355301.0,False,Harrisstad,False,False,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0305,A021,2026-04-12 04:52:32,12136,Debit,"Anderson, West and Harrison",Davisborough,0,False,623499.0,False,Port Markshire,False,False,C021,89435,Dormant,Robert Cline,25,Collinsfort,Current,2026-04-05
T0513,A022,2026-01-11 10:48:31,88193,Debit,Beard-Jones,Hintonbury,0,True,,False,,False,True,C022,184119,Dormant,Angela Phillips,25,Lake Tricia,Savings,2025-06-01
T0179,A022,2026-03-04 18:13:47,33848,Debit,"Gomez, Wilson and Mills",Keithside,0,False,4519516.0,False,Hintonbury,False,False,C022,184119,Dormant,Angela Phillips,25,Lake Tricia,Savings,2025-06-01
T0644,A022,2026-03-25 00:51:15,3488,Credit,"Watson, Sweeney and Curtis",South Lisa,0,False,1751848.0,False,Keithside,False,False,C022,184119,Dormant,Angela Phillips,25,Lake Tricia,Savings,2025-06-01
T0057,A022,2026-03-27 02:50:39,59560,Debit,"Ray, Ramirez and Reeves",North Julia,0,True,179964.0,False,South Lisa,False,True,C022,184119,Dormant,Angela Phillips,25,Lake Tricia,Savings,2025-06-01
T0278,A022,2026-03-31 02:38:31,20855,Debit,Wilkins PLC,Donnaport,0,False,344872.0,False,North Julia,False,False,C022,184119,Dormant,Angela Phillips,25,Lake Tricia,Savings,2025-06-01
T0501,A023,2026-01-09 03:45:34,19763,Debit,Gardner PLC,South Nicolefort,0,False,,False,,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0647,A023,2026-02-27 19:19:01,26533,Credit,Knight-Martinez,Diazchester,0,False,4289607.0,False,South Nicolefort,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0741,A023,2026-02-28 22:22:53,71837,Credit,"Molina, Sims and Parrish",Lake Johnfort,0,True,97432.0,False,Diazchester,False,True,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0554,A023,2026-03-19 09:06:53,1745,Credit,Scott Group,South Brian,0,False,1593840.0,False,Lake Johnfort,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0223,A023,2026-03-27 09:11:01,41968,Debit,Lowe-Johnson,South Valerieburgh,0,False,691448.0,False,South Brian,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0886,A023,2026-03-31 20:55:57,8296,Debit,Rivera-Jordan,New Michaelland,0,False,387896.0,False,South Valerieburgh,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0086,A023,2026-04-01 11:22:35,8104,Debit,"Clark, Nguyen and Black",East John,0,False,51998.0,False,New Michaelland,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0460,A023,2026-04-15 02:01:31,31196,Credit,Perez-Mcguire,Dawnshire,0,False,1175936.0,False,East John,False,False,C023,165822,Dormant,Ruth Thompson,35,Port Matthewmouth,Current,2022-12-05
T0127,A024,2026-01-04 17:45:13,5569,Debit,Hood PLC,Jacksonfurt,0,False,,False,,False,False,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0224,A024,2026-01-05 09:36:57,51683,Credit,Rodriguez-Murray,Lake Briannaborough,1,True,57104.0,False,Jacksonfurt,False,True,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0101,A024,2026-01-16 14:23:02,3712,Debit,Clements-Santos,Barnesfurt,0,False,967565.0,False,Lake Briannaborough,False,False,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0362,A024,2026-02-26 06:46:37,50753,Debit,Mccarthy-Cruz,Summermouth,0,True,3515015.0,False,Barnesfurt,False,True,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0126,A024,2026-03-05 22:14:38,93961,Credit,"Martinez, Mcdonald and Garcia",Stewartton,1,True,660481.0,False,Summermouth,False,True,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0845,A024,2026-03-28 06:56:21,50390,Debit,Turner-Carter,West Tinatown,0,True,1932103.0,False,Stewartton,False,True,C024,107925,Dormant,Alexandria Johnson,24,East Johntown,Current,2024-11-19
T0149,A025,2026-02-24 03:10:21,58105,Credit,Meyer Group,South Charlene,1,True,,False,,False,True,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0116,A025,2026-02-25 08:24:42,26027,Credit,Shields LLC,Alisonmouth,0,False,105261.0,False,South Charlene,False,False,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0997,A025,2026-03-01 08:12:13,91254,Credit,"Norris, Brown and Wagner",East Ericmouth,0,True,344851.0,False,Alisonmouth,False,True,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0537,A025,2026-03-03 20:41:39,5421,Credit,"Hardy, Campbell and Robinson",Parksstad,0,False,217766.0,False,East Ericmouth,False,False,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0958,A025,2026-03-16 08:04:11,36564,Credit,Porter-Rodgers,West Nancy,0,False,1077752.0,False,Parksstad,False,False,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0021,A025,2026-03-17 12:06:05,72104,Debit,Raymond Ltd,Hancockbury,1,True,100914.0,False,West Nancy,False,True,C025,7035,Blocked,Kim Durham,38,Lake Joseph,Savings,2026-02-14
T0199,A026,2026-01-04 07:10:07,89118,Credit,Reid LLC,West Nicole,1,True,,False,,False,True,C026,132283,Blocked,Patricia Grant,26,West Gregory,Savings,2023-04-20
